employee_id,country,year,performance_score
ANON_76X90X48X48X48X48X49X48X50X48X55X,France,2023,4
ANON_76X90X48X48X48X48X49X48X50X49X51X,France,2023,4
ANON_76X90X48X48X48X48X49X48X50X49X52X,France,2023,4
ANON_76X90X48X48X48X48X49X48X50X51X52X,France,2023,3
ANON_76X90X48X48X48X48X49X48X50X51X53X,France,2023,4
ANON_76X90X48X48X48X48X49X48X50X51X57X,France,2023,4
ANON_76X90X48X48X48X48X49X48X50X52X51X,France,2023,4
ANON_76X90X48X48X48X48X49X48X50X53X50X,France,2023,3
ANON_76X90X48X48X48X48X49X48X50X53X55X,France,2023,3
ANON_76X90X48X48X48X48X49X48X50X55X53X,France,2023,3
ANON_76X90X48X48X48X48X49X48X50X55X57X,France,2023,3
ANON_76X90X48X48X48X48X49X48X50X56X52X,France,2023,4
ANON_76X90X48X48X48X48X49X48X50X56X54X,France,2023,4
ANON_76X90X48X48X48X48X49X48X50X56X56X,France,2023,3
ANON_76X90X48X48X48X48X49X48X50X57X49X,France,2023,3
ANON_76X90X48X48X48X48X49X48X50X57X52X,France,2023,4
ANON_76X90X48X48X48X48X49X48X51X49X48X,France,2023,4
ANON_76X90X48X48X48X48X49X48X51X49X53X,France,2023,3
ANON_76X90X48X48X48X48X49X48X51X50X52X,France,2023,4
ANON_76X90X48X48X48X48X49X54X56X52X49X,France,2023,3
ANON_76X90X48X48X48X48X49X55X57X56X50X,France,2023,4
ANON_76X90X48X48X48X48X49X55X57X56X52X,France,2023,3
ANON_76X90X48X48X48X48X49X55X57X57X49X,France,2023,3
ANON_76X90X48X48X48X48X50X49X57X49X56X,France,2023,4
ANON_76X90X48X48X48X48X50X51X49X54X50X,France,2023,4
ANON_76X90X48X48X48X48X50X51X50X57X51X,France,2023,3
ANON_76X90X48X48X48X48X50X53X53X55X56X,France,2023,3
ANON_76X90X48X48X48X48X50X53X53X57X54X,France,2023,4
ANON_76X90X48X48X48X48X50X54X50X54X57X,France,2023,3
ANON_76X90X48X48X48X48X50X54X50X55X50X,France,2023,4
ANON_76X90X48X48X48X48X50X54X50X55X51X,France,2023,3
ANON_76X90X48X48X48X48X50X54X51X48X55X,France,2023,3
ANON_76X90X48X48X48X48X50X54X52X48X55X,France,2023,3
ANON_76X90X48X48X48X48X50X54X52X49X53X,France,2023,4
ANON_76X90X48X48X48X48X50X54X56X50X54X,France,2023,4
ANON_76X90X48X48X48X48X50X54X56X51X57X,France,2023,3
ANON_76X90X48X48X48X48X50X54X56X52X51X,France,2023,5
ANON_76X90X48X48X48X48X50X54X56X52X53X,France,2023,3
ANON_76X90X48X48X48X48X50X54X56X57X53X,France,2023,3
ANON_76X90X48X48X48X48X50X54X56X57X54X,France,2023,3
ANON_76X90X48X48X48X48X50X55X50X55X53X,France,2023,3
ANON_76X90X48X48X48X48X50X56X50X51X48X,France,2023,4
ANON_76X90X48X48X48X48X50X56X52X52X49X,France,2023,4
ANON_76X90X48X48X48X48X50X56X57X57X49X,France,2023,3
ANON_76X90X48X48X48X48X50X57X50X53X53X,France,2023,3
ANON_76X90X48X48X48X48X50X57X52X52X56X,France,2023,4
ANON_76X90X48X48X48X48X50X57X52X55X49X,France,2023,4
ANON_76X90X48X48X48X48X50X57X54X54X57X,France,2023,3
ANON_76X90X48X48X48X48X50X57X54X57X57X,France,2023,4
ANON_76X90X48X48X48X48X51X48X50X55X57X,France,2023,4
ANON_76X90X48X48X48X48X51X48X51X55X55X,France,2023,5
ANON_76X90X48X48X48X48X51X49X48X49X48X,France,2023,3
ANON_76X90X48X48X48X48X51X49X49X50X55X,France,2023,4
ANON_76X90X48X48X48X48X51X49X50X55X50X,France,2023,4
ANON_76X90X48X48X48X48X51X49X52X55X52X,France,2023,2
ANON_76X90X48X48X48X48X51X49X56X55X48X,France,2023,4
ANON_76X90X48X48X48X48X52X48X48X48X52X,France,2023,3
ANON_76X90X48X48X48X48X52X48X48X52X51X,France,2023,3
ANON_76X90X48X48X48X48X52X48X48X56X49X,France,2023,4
ANON_76X90X48X48X48X48X52X48X48X56X54X,France,2023,3
ANON_76X90X48X48X48X48X52X48X48X56X55X,France,2023,3
ANON_76X90X48X48X48X48X52X48X48X56X56X,France,2023,3
ANON_76X90X48X48X48X48X52X48X48X57X51X,France,2023,3
ANON_76X90X48X48X48X48X52X48X48X57X52X,France,2023,3
ANON_76X90X48X48X48X48X52X48X49X48X50X,France,2023,4
ANON_76X90X48X48X48X48X52X48X49X49X48X,France,2023,3
ANON_76X90X48X48X48X48X52X48X49X50X55X,France,2023,4
ANON_76X90X48X48X48X48X52X48X49X51X54X,France,2023,3
ANON_76X90X48X48X48X48X52X48X49X51X55X,France,2023,3
ANON_76X90X48X48X48X48X52X48X49X53X54X,France,2023,3
ANON_76X90X48X48X48X48X52X48X49X54X48X,France,2023,3
ANON_76X90X48X48X48X48X52X48X49X54X57X,France,2023,3
ANON_76X90X48X48X48X48X52X48X50X49X57X,France,2023,4
ANON_76X90X48X48X48X48X52X48X50X50X50X,France,2023,4
ANON_76X90X48X48X48X48X52X48X50X50X56X,France,2023,4
ANON_76X90X48X48X48X48X52X48X50X51X48X,France,2023,3
ANON_76X90X48X48X48X48X52X48X50X51X49X,France,2023,4
ANON_76X90X48X48X48X48X52X48X50X51X51X,France,2023,3
ANON_76X90X48X48X48X48X52X48X50X52X57X,France,2023,3
ANON_76X90X48X48X48X48X52X48X50X53X48X,France,2023,4
ANON_76X90X48X48X48X48X52X48X50X53X51X,France,2023,3
ANON_76X90X48X48X48X48X52X48X50X53X56X,France,2023,3
ANON_76X90X48X48X48X48X52X48X50X54X51X,France,2023,4
ANON_76X90X48X48X48X48X52X48X52X54X53X,France,2023,2
ANON_76X90X48X48X48X48X52X48X52X57X57X,France,2023,4
ANON_76X90X48X48X48X48X52X48X53X51X49X,France,2023,4
ANON_76X90X48X48X48X48X52X48X53X55X52X,France,2023,4
ANON_76X90X48X48X48X48X52X48X53X56X49X,France,2023,3
ANON_76X90X48X48X48X48X52X48X54X48X49X,France,2023,3
ANON_76X90X48X48X48X48X52X48X54X48X50X,France,2023,3
ANON_76X90X48X48X48X48X52X48X54X48X51X,France,2023,4
ANON_76X90X48X48X48X48X52X48X54X55X55X,France,2023,4
ANON_76X90X48X48X48X48X52X48X54X55X57X,France,2023,3
ANON_76X90X48X48X48X48X52X48X54X57X51X,France,2023,3
ANON_76X90X48X48X48X48X52X48X55X50X52X,France,2023,4
ANON_76X90X48X48X48X48X52X48X55X53X48X,France,2023,3
ANON_76X90X48X48X48X48X52X48X55X55X48X,France,2023,4
ANON_76X90X48X48X48X48X52X48X55X55X49X,France,2023,4
ANON_76X90X48X48X48X48X52X48X55X56X51X,France,2023,4
ANON_76X90X48X48X48X48X52X48X55X56X55X,France,2023,3
ANON_76X90X48X48X48X48X52X48X56X52X50X,France,2023,3
ANON_76X90X48X48X48X48X52X48X56X52X55X,France,2023,3
ANON_76X90X48X48X48X48X52X48X56X53X55X,France,2023,3
ANON_76X90X48X48X48X48X52X48X56X54X56X,France,2023,4
ANON_76X90X48X48X48X48X52X48X57X49X52X,France,2023,4
ANON_76X90X48X48X48X48X52X48X57X51X55X,France,2023,3
ANON_76X90X48X48X48X48X52X49X50X50X52X,France,2023,4
ANON_76X90X48X48X48X48X52X49X50X51X53X,France,2023,3
ANON_76X90X48X48X48X48X52X49X50X54X48X,France,2023,3
ANON_76X90X48X48X48X48X52X49X50X54X51X,France,2023,4
ANON_76X90X48X48X48X48X52X49X50X54X57X,France,2023,3
ANON_76X90X48X48X48X48X52X49X50X55X51X,France,2023,4
ANON_76X90X48X48X48X48X52X49X50X56X51X,France,2023,3
ANON_76X90X48X48X48X48X52X49X51X50X52X,France,2023,3
ANON_76X90X48X48X48X48X52X49X51X50X57X,France,2023,3
ANON_76X90X48X48X48X48X52X49X51X51X51X,France,2023,3
ANON_76X90X48X48X48X48X52X49X51X51X56X,France,2023,5
ANON_76X90X48X48X48X48X52X49X51X52X55X,France,2023,3
ANON_76X90X48X48X48X50X48X48X48X54X55X,France,2023,4
ANON_76X90X48X48X48X50X48X48X50X50X57X,France,2023,5
ANON_76X90X48X48X48X50X48X48X52X50X48X,France,2023,4
ANON_76X90X48X48X48X50X48X48X52X53X57X,France,2023,4
ANON_76X90X48X48X48X50X48X48X52X56X49X,France,2023,4
ANON_76X90X48X48X48X50X48X48X52X57X53X,France,2023,3
ANON_76X90X48X48X48X50X48X48X53X49X48X,France,2023,3
ANON_76X90X48X48X48X50X48X48X53X49X49X,France,2023,3
ANON_76X90X48X48X48X50X48X48X53X52X52X,France,2023,3
ANON_76X90X48X48X48X50X48X48X53X52X54X,France,2023,3
ANON_76X90X48X48X48X50X48X48X53X52X55X,France,2023,3
ANON_76X90X48X48X48X50X48X48X53X53X56X,France,2023,4
ANON_76X90X48X48X48X50X48X48X53X54X57X,France,2023,3
ANON_76X90X48X48X48X50X48X48X53X56X50X,France,2023,3
ANON_76X90X48X48X48X50X48X48X53X57X48X,France,2023,5
ANON_76X90X48X48X48X50X48X48X53X57X49X,France,2023,4
ANON_76X90X48X48X48X50X48X48X53X57X56X,France,2023,3
ANON_76X90X48X48X48X50X48X48X54X50X54X,France,2023,4
ANON_76X90X48X48X48X50X48X48X54X52X49X,France,2023,3
ANON_76X90X48X48X48X50X48X48X54X52X53X,France,2023,3
ANON_76X90X48X48X48X50X48X48X54X52X57X,France,2023,3
ANON_76X90X48X48X48X50X48X48X54X53X48X,France,2023,3
ANON_76X90X48X48X48X50X48X48X54X56X49X,France,2023,4
ANON_76X90X48X48X48X50X48X48X54X57X52X,France,2023,4
ANON_76X90X48X48X48X50X48X48X54X57X53X,France,2023,4
ANON_76X90X48X48X48X50X48X48X54X57X54X,France,2023,3
ANON_76X90X48X48X48X50X48X48X54X57X55X,France,2023,2
ANON_76X90X48X48X48X50X48X48X55X49X50X,France,2023,3
ANON_76X90X48X48X48X50X48X48X55X49X51X,France,2023,2
ANON_76X90X48X48X48X50X48X48X55X51X54X,France,2023,4
ANON_76X90X48X48X48X50X48X48X55X57X55X,France,2023,4
ANON_76X90X48X48X48X51X48X48X48X49X50X,France,2023,3
ANON_76X90X48X48X48X51X48X48X48X49X52X,France,2023,3
ANON_76X90X48X48X48X51X48X48X48X50X57X,France,2023,4
ANON_76X90X48X48X48X51X48X48X48X51X51X,France,2023,3
ANON_76X90X48X48X48X51X48X48X48X51X54X,France,2023,3
ANON_76X90X48X48X48X51X48X48X48X53X48X,France,2023,4
