employee_id,absence_days,absence_events,main_group
ANON_68X49X48X48X48X48X70X84X54X51X49X,12.5,14,Congés
ANON_68X49X48X48X48X48X70X84X54X54X81X,25.0,32,Maternité et paternité
ANON_68X49X48X48X48X48X70X84X55X51X79X,47.5,65,Congés
ANON_68X49X48X48X48X48X70X84X65X57X54X,22.0,27,Congés
ANON_68X49X48X48X48X48X70X84X68X57X53X,26.5,37,Congés
ANON_68X49X48X48X48X48X70X84X69X49X72X,17.0,20,Congés
ANON_68X50X48X48X48X48X70X84X49X55X49X,23.5,33,Congés
ANON_68X50X48X48X48X48X70X84X67X49X70X,48.0,54,Congés
ANON_68X50X48X48X48X48X70X84X67X56X67X,34.5,46,Congés
ANON_68X50X48X48X48X48X70X84X67X56X82X,37.0,44,Congés
ANON_68X72X48X48X48X48X48X55X57X53X56X,33.5,38,Congés
ANON_68X72X48X48X48X48X48X56X56X53X50X,36.5,42,Congés
ANON_68X72X48X48X48X48X48X56X57X55X53X,35.0,43,Congés
ANON_68X72X48X48X48X48X48X57X50X51X51X,1.0,1,Congés
ANON_68X72X48X48X48X48X48X57X52X53X53X,33.0,42,Congés
ANON_68X72X48X48X48X48X48X57X53X51X55X,10.0,14,Congés
ANON_68X72X48X48X48X48X48X57X57X51X50X,3.5,4,Maternité et paternité
ANON_68X72X48X48X48X48X49X48X48X55X54X,6.5,7,Congés
ANON_68X72X48X48X48X48X49X48X49X55X48X,4.0,6,Congés
ANON_68X72X48X48X48X48X49X48X50X55X48X,24.0,24,Congés
ANON_68X72X48X48X48X48X49X48X51X57X50X,30.0,38,Congés
ANON_68X72X48X48X48X48X49X48X53X51X50X,18.0,22,Congés
ANON_68X72X48X48X86X73X69X48X48X52X57X,31.5,37,Congés
ANON_68X72X48X48X86X73X69X48X49X49X53X,29.5,30,Absences non suivi
ANON_70X65X48X48X48X54X53X57X52X53X53X,25.5,31,Congés
ANON_70X90X48X48X48X51X48X48X55X57X54X,39.0,53,Congés
ANON_73X74X48X48X56X50X55X48X49X53X55X,93.0,128,Congés
ANON_73X74X48X48X56X54X53X51X50X48X56X,27.5,36,Congés
ANON_73X74X48X48X56X55X48X56X55X55X56X,31.0,38,Congés
ANON_73X74X48X48X56X55X54X48X52X49X51X,27.0,34,Congés
ANON_73X74X48X48X56X55X54X54X56X55X55X,48.5,69,Congés
ANON_73X74X48X49X48X48X54X49X55X50X56X,28.5,38,Congés
ANON_73X74X48X49X48X49X50X57X57X51X49X,33.0,39,Congés
ANON_73X74X48X49X48X50X52X54X49X50X57X,45.0,56,Congés
ANON_73X74X48X49X48X53X48X54X53X49X52X,27.5,34,Congés
ANON_73X74X48X49X48X53X56X53X57X51X50X,30.0,39,Congés
ANON_73X74X48X49X48X53X57X51X52X49X48X,16.5,20,Congés
ANON_73X74X48X49X48X54X51X50X55X49X53X,40.0,47,Congés
ANON_73X74X48X49X48X54X53X48X54X48X48X,24.0,32,Congés
ANON_73X74X48X49X48X54X54X52X51X52X48X,50.0,65,Congés
ANON_73X74X48X49X48X55X48X54X56X55X55X,19.0,25,Congés
ANON_73X74X48X49X48X55X50X49X56X51X51X,62.5,79,Congés
ANON_73X74X48X49X48X55X56X51X56X55X49X,30.0,37,Congés
ANON_73X74X48X49X49X57X48X54X49X52X50X,39.0,48,Congés
ANON_73X74X48X49X49X57X53X51X54X51X50X,37.0,49,Congés
ANON_73X74X48X49X49X57X56X48X53X49X48X,48.0,48,Congés
ANON_73X74X48X51X50X50X53X49X56X57X48X,33.0,41,Congés
ANON_73X74X48X51X55X48X54X53X55X50X48X,36.5,50,Congés
ANON_73X74X48X51X55X49X54X56X56X56X49X,93.0,121,Maladie
ANON_73X74X48X51X55X54X56X49X53X54X55X,51.0,64,Congés
ANON_73X74X48X51X56X49X50X49X51X48X51X,230.0,334,Maternité et paternité
ANON_73X74X48X51X56X52X55X48X54X48X52X,36.0,36,Congés
ANON_73X74X48X52X50X57X49X51X49X48X51X,36.0,44,Congés
ANON_73X74X48X52X51X56X51X50X49X55X53X,50.5,54,Congés
ANON_73X74X48X52X52X57X53X48X50X48X52X,38.0,44,Congés
ANON_73X74X48X52X54X53X53X49X51X49X48X,66.0,83,Congés
ANON_73X74X48X52X56X55X57X54X55X53X55X,43.0,52,Congés
ANON_73X74X48X52X57X48X56X51X57X49X57X,39.0,46,Congés
ANON_73X74X48X52X57X51X50X49X55X54X57X,54.0,64,Congés
ANON_73X74X48X52X57X55X51X53X53X51X54X,67.0,82,Congés
ANON_73X74X48X53X48X50X50X55X53X48X57X,53.5,67,Congés
ANON_73X74X48X53X49X57X48X53X51X48X54X,31.0,39,Congés
ANON_73X74X48X53X49X57X52X50X49X56X51X,48.0,58,Congés
ANON_73X74X48X53X50X49X49X56X55X48X54X,32.0,40,Congés
ANON_73X74X48X53X51X49X49X50X57X53X52X,36.5,43,Congés
ANON_73X74X48X53X51X54X57X50X49X50X54X,38.0,47,Congés
ANON_73X74X48X53X51X56X50X57X49X51X56X,76.0,104,Maladie
ANON_73X74X48X53X51X56X53X49X57X55X50X,2.0,2,Légal / Conventionnel Autre
ANON_73X74X48X53X51X57X50X48X57X56X51X,45.0,53,Congés
ANON_73X74X48X53X51X57X52X48X53X56X53X,34.0,41,Congés
ANON_73X74X48X53X52X50X49X56X51X53X48X,14.0,16,Congés
ANON_73X74X48X53X52X50X51X49X53X56X53X,9.0,9,Congés
ANON_73X74X48X53X52X54X55X55X49X55X57X,45.0,53,Congés
ANON_73X76X48X48X48X48X57X49X49X48X48X,42.0,51,Congés
ANON_73X76X48X48X48X48X57X49X49X48X57X,58.0,67,Congés
ANON_73X76X48X48X48X48X57X49X49X50X51X,78.0,109,Maladie
ANON_73X76X48X48X48X48X57X49X50X55X55X,28.0,32,Congés
ANON_73X76X48X48X48X48X57X49X51X52X48X,36.0,44,Congés
ANON_73X76X48X48X48X48X57X49X51X57X56X,156.5,375,Légal / Conventionnel Autre
ANON_73X76X48X48X48X48X57X49X53X50X51X,35.0,41,Congés
ANON_73X76X48X48X48X48X57X49X54X50X55X,35.0,42,Congés
ANON_73X76X48X48X48X48X57X49X55X54X50X,39.0,49,Congés
ANON_73X76X48X48X48X48X57X49X55X55X56X,88.5,118,Maladie
ANON_73X76X48X48X48X48X57X49X56X51X54X,49.0,67,Congés
ANON_73X76X48X48X48X48X57X50X48X52X48X,34.0,43,Congés
ANON_73X76X48X48X48X48X57X50X48X53X49X,55.5,66,Congés
ANON_73X76X48X48X48X48X57X50X48X53X50X,36.0,40,Congés
ANON_73X76X48X48X48X48X57X50X49X51X52X,27.5,32,Congés
ANON_73X76X48X48X48X48X57X50X49X53X56X,39.5,47,Congés
ANON_73X76X48X48X48X48X57X50X49X55X48X,29.0,35,Maladie
ANON_73X76X48X48X48X48X57X50X49X56X52X,43.0,57,Congés
ANON_73X76X48X48X48X48X57X50X51X53X49X,49.5,62,Congés
ANON_73X76X48X48X48X48X57X50X53X56X56X,43.0,53,Congés
ANON_73X76X48X48X48X48X57X51X48X48X54X,34.5,38,Congés
ANON_74X77X48X48X48X48X49X51X50X50X52X,25.0,33,Congés
ANON_74X77X48X48X48X48X50X50X57X49X48X,42.5,53,Congés
ANON_74X77X48X48X48X48X50X51X50X50X53X,37.5,46,Congés
ANON_74X79X48X48X48X48X48X50X48X54X50X,27.0,36,Congés
ANON_74X79X48X48X48X48X57X50X50X53X56X,41.0,43,Congés
ANON_74X83X48X48X48X49X48X48X50X48X48X,9.0,13,Maladie
ANON_74X84X48X48X57X49X51X49X48X56X56X,58.0,77,Congés
ANON_75X73X48X48X48X48X48X48X48X51X52X,35.0,41,Congés
ANON_75X73X48X48X48X48X48X48X48X57X57X,39.0,45,Congés
ANON_75X73X48X48X48X48X48X48X49X49X51X,128.0,179,Maladie
ANON_75X73X48X48X48X48X48X48X49X51X54X,37.5,39,Congés
ANON_75X73X48X48X48X48X48X48X49X57X52X,39.5,50,Congés
ANON_75X73X48X48X48X48X48X48X50X57X50X,24.0,31,Congés
ANON_75X73X48X48X48X48X48X48X52X55X54X,34.0,39,Congés
ANON_75X73X48X48X48X48X48X48X54X52X53X,168.5,246,Maladie
ANON_75X73X48X48X48X48X48X48X55X52X52X,38.0,43,Congés
ANON_75X73X48X48X48X48X48X48X55X53X50X,7.0,7,Congés
ANON_75X73X48X48X48X48X48X48X55X53X53X,43.5,51,Congés
ANON_75X73X48X48X48X48X48X48X56X56X52X,37.5,49,Congés
ANON_75X75X48X48X48X48X48X48X52X53X50X,32.0,38,Congés
ANON_75X75X48X48X48X48X48X48X53X55X57X,35.5,47,Congés
ANON_75X75X48X48X48X48X48X48X54X55X52X,37.0,41,Congés
ANON_75X75X48X48X48X48X48X48X55X51X49X,80.5,106,Maladie
ANON_75X75X48X48X48X48X48X48X55X54X54X,27.0,32,Congés
ANON_75X76X48X48X48X48X57X51X49X55X52X,50.0,63,Congés
ANON_75X76X48X48X48X49X54X55X52X48X57X,43.0,54,Congés
ANON_75X76X48X48X48X49X55X48X51X53X55X,25.0,34,Congés
ANON_75X76X48X48X48X50X49X52X57X57X53X,34.5,46,Congés
ANON_75X76X48X48X48X51X49X52X51X57X49X,39.0,51,Congés
ANON_75X76X48X48X48X51X49X54X51X57X51X,59.0,69,Congés
ANON_75X76X48X48X48X51X49X56X57X53X54X,37.0,45,Congés
ANON_75X76X48X48X48X51X51X51X52X53X52X,42.0,51,Congés
ANON_75X76X48X48X48X51X52X48X48X48X48X,20.5,28,Congés
ANON_75X76X48X48X48X51X52X54X56X57X54X,43.0,62,Congés
