employee_id,country,performance_score
ANON_67X57X48X48X48X48X69X54X51X53X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X54X51X55X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X51X57X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X52X48X54X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X54X52X52X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X54X52X53X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X52X56X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X53X52X55X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X54X53X54X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X53X56X56X,Luxembourg,5.0
ANON_67X57X48X48X48X48X69X54X53X56X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X53X57X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X53X57X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X54X54X48X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X55X48X53X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X54X55X52X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X54X55X52X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X55X57X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X57X54X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X49X49X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X49X51X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X49X51X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X49X54X57X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X50X50X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X50X50X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X50X54X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X50X55X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X51X48X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X51X53X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X51X56X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X52X48X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X52X49X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X52X49X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X52X50X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X52X52X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X52X56X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X52X56X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X52X57X54X,Luxembourg,3.0
